Hidraulica;Termica;CARGA;EARM;ENA;Pesado
29242.57;3921.71;33446;20.09;60.14;684
28742.71;4210.86;33554;19.22;59.86;684
28801.29;4251;33838.14;23.78;62.71;684
28746;4390.43;34118.86;17.29;58.43;684
28657.14;4191.86;33868;16.26;59.14;684
28861.71;4404.57;34273.29;15.22;61;684
28654.43;4152.14;33801.86;14.22;65;684
29333.71;4394.43;34704.14;13.22;65.14;562.15
30066.29;4028.57;34488;12.14;56.57;562.15
29999.29;3911.57;33943.43;11.1;58.86;562.15
30030.71;4133.86;34201.86;10.19;59;562.15
30311.71;4088;34426;9.24;63.43;562.15
30757.57;3846.86;34630.14;8.53;70.29;562.15
30988.43;3143.43;34757.14;8;63.57;562.15
29727.14;4159.86;34679.14;7.5;57.71;562.15
30072.43;4522.86;35489.71;7.39;55.71;562.15
31942.71;4506.71;36507.57;7.66;60;562.15
31248.57;4545.57;35837.29;8.81;68.14;562.15
32164.43;4791;37121.86;10.16;80.86;562.15
31296.57;4590;36468.86;10.65;79.43;562.15
28150.57;3828.14;32143.43;12.19;75.71;562.15
11826.43;1268.14;13113.86;21.06;86.33;562.15
16610.71;2339.14;19214.43;15.59;42.75;562.15
31010;4714.57;36451.57;21.14;58.29;562.15
30895;4455.29;36137.57;26.7;90.86;562.15
32936.86;3588.43;36981;32.98;99.86;562.15
34322.43;4069.86;38435;36.92;97.14;319.41
33088.57;4281.71;37415.71;40.98;96.71;319.41
31533.29;4146.57;35725.29;48.87;104.29;319.41
34778;3668.86;38488.57;49.01;91.43;319.41
35445.14;3723.14;39213.29;54.56;94.43;319.41
36258.14;3651.71;39952.57;58.8;99.71;4
38010.57;3180;41233;61.27;106.43;4.88
37800.29;3124.29;40969.71;62.49;99.57;7.32
35652.14;3189;38888.29;63.14;87.86;7.04
36549.29;3314.71;39981.71;64.2;71.71;6.17
36081.57;4061.43;40207.29;65.38;77.14;5.72
36862.86;3784.29;40692.14;65.91;74.29;8.71
36640.86;4004.57;40684.29;65.9;66.86;8.75
35501.29;3736;39269.29;65.6;63.43;4
35752;4032.71;39829.71;65.01;60.29;4.38
35914.86;3986.14;39947.71;64.01;56;4
34910.71;3991.86;38973.86;62.58;53.43;4.13
33170.29;3987;37200.43;61.47;52.29;4
35266.57;3623.86;38958.14;60.41;65.71;5.57
35378;4092.14;39673;59.15;67;7.69
35182;3900.71;39162.14;57.94;65.57;7.73
34725.29;3699.57;38469.29;56.64;63.29;7.61
34971.43;3603.71;38620.57;55.51;67;15.89
34326.57;3676.29;38046.86;54.25;70.14;17.52
34666.14;3548.29;38289;52.75;67.14;17.35
35334.43;3371.86;38751.71;51.18;65.71;15.59
35424.71;3215.57;38686.43;49.61;66.29;15.44
35987.86;3242.29;39274.71;47.93;72;13.52
36485;3165.29;39692.14;46.18;69.57;11.72
36749.57;3203.86;39998;44.7;67.43;12.41
4612.14;0.29;5630.43;42.87;66.14;14.07
5373.86;0;5825.57;40.78;67.14;5.93
5433.14;0;5784.14;38.91;65.86;5.87
5549.14;0;5853.86;36.76;65;5.54
5319.71;0;5921.29;34.62;65;4.93
4995.86;0.43;5929.43;32.8;60.43;4
5098.43;9.29;5930.57;31.68;60.57;4
5117.14;6.43;6031.57;29.49;74;4.06
5327.86;12;6143.86;27.35;71.71;4.67
5723.57;9.71;6179.57;25.1;62.29;6.77
5354.57;5.14;6099.86;23.04;30.14;6.87
4479.91;8.71;6067.86;21.5;32.43;5.88
5605;11.43;6211.57;20.47;41.14;6.04
5826.43;28;6242.29;19.46;52.14;5.69
5945.71;61.43;6250.86;17.96;35.43;5.66
5875.71;24.57;6147;17.03;40;5.74
5922.71;52.86;6238.71;16.77;38.86;6.13
5256.29;42.86;5896.29;16.99;37.86;4.01
2661.14;28.71;3209.43;18.33;45;4
5176;122.71;6237;20.84;79.43;5.29
5440.57;83.29;6319.43;23.43;76.57;4
5353.71;101.57;6187.14;27.61;81.57;4.25
5030.57;27.43;6068.71;32.52;89.71;4
4730.71;170.71;5926;37.36;114;4
4860.86;157.57;5866.86;41.14;121.14;4
4804.14;134.57;5910.14;43.9;115.86;4
4783;28.57;5740.71;45.55;105.43;4
4623.71;22.14;5580.71;46.16;57.29;4
4923.71;46.86;6014.86;46.31;60.14;4
4795.86;31;5759.14;46.37;54.29;4
4946.43;54.86;5836.57;47.43;50.43;4
4802.57;191.71;5942.43;49.21;71.71;4
4884.71;208.86;6032;51.01;95.29;5.48
5013;46;5961;52.7;96.14;5.48
4926.43;31.14;5876.86;53.28;87.71;5.48
4878.14;28.57;5929.71;53.03;81.57;5.48
4917;46.29;5958.29;52.51;75.71;5.57
4700.14;83.14;5866.29;51.74;68.71;5.96
4757.86;37.57;5915.43;50.88;65.43;6.25
