{ 'PREDICTION': [24.40538],  'REAL': [20.73] },
{ 'PREDICTION': [23.422953],  'REAL': [21.45] },
{ 'PREDICTION': [22.388117],  'REAL': [16.31] },
{ 'PREDICTION': [21.23625],  'REAL': [16.31] },
{ 'PREDICTION': [19.880445],  'REAL': [16.31] },
{ 'PREDICTION': [18.458172],  'REAL': [16.31] },
{ 'PREDICTION': [17.082165],  'REAL': [16.31] },
{ 'PREDICTION': [16.489204],  'REAL': [16.31] },
{ 'PREDICTION': [15.733113],  'REAL': [16.31] },
{ 'PREDICTION': [14.640718],  'REAL': [16.31] },
{ 'PREDICTION': [13.478669],  'REAL': [16.31] },
{ 'PREDICTION': [12.409529],  'REAL': [16.31] },
{ 'PREDICTION': [11.405524],  'REAL': [16.31] },
{ 'PREDICTION': [10.476968],  'REAL': [16.31] },
{ 'PREDICTION': [9.638928],  'REAL': [16.31] },
{ 'PREDICTION': [9.114316],  'REAL': [16.31] },
{ 'PREDICTION': [8.686529],  'REAL': [16.31] },
{ 'PREDICTION': [8.45244],  'REAL': [16.31] },
{ 'PREDICTION': [8.30899],  'REAL': [16.31] },
{ 'PREDICTION': [8.260738],  'REAL': [16.31] },
{ 'PREDICTION': [8.217092],  'REAL': [16.31] },
{ 'PREDICTION': [8.103916],  'REAL': [16.31] },
{ 'PREDICTION': [7.9205437],  'REAL': [16.31] },
{ 'PREDICTION': [7.568805],  'REAL': [16.31] },
