{ 'PREDICTION': [26.051682],  'REAL': [20.73] },
{ 'PREDICTION': [24.925974],  'REAL': [21.45] },
{ 'PREDICTION': [23.651955],  'REAL': [16.31] },
{ 'PREDICTION': [22.489607],  'REAL': [16.31] },
{ 'PREDICTION': [21.405396],  'REAL': [16.31] },
{ 'PREDICTION': [20.37067],  'REAL': [16.31] },
{ 'PREDICTION': [19.488857],  'REAL': [16.31] },
{ 'PREDICTION': [19.167578],  'REAL': [16.31] },
{ 'PREDICTION': [18.719612],  'REAL': [16.31] },
{ 'PREDICTION': [18.09203],  'REAL': [16.31] },
{ 'PREDICTION': [17.43338],  'REAL': [16.31] },
{ 'PREDICTION': [16.90791],  'REAL': [16.31] },
{ 'PREDICTION': [16.38213],  'REAL': [16.31] },
{ 'PREDICTION': [15.8773],  'REAL': [16.31] },
{ 'PREDICTION': [15.409111],  'REAL': [16.31] },
{ 'PREDICTION': [15.072079],  'REAL': [16.31] },
{ 'PREDICTION': [14.749767],  'REAL': [16.31] },
{ 'PREDICTION': [14.505913],  'REAL': [16.31] },
{ 'PREDICTION': [14.338386],  'REAL': [16.31] },
{ 'PREDICTION': [14.217617],  'REAL': [16.31] },
{ 'PREDICTION': [14.159807],  'REAL': [16.31] },
{ 'PREDICTION': [14.100338],  'REAL': [16.31] },
{ 'PREDICTION': [14.0459385],  'REAL': [16.31] },
{ 'PREDICTION': [13.857432],  'REAL': [16.31] },
