{ 'PREDICTION': [22.324554],  'REAL': [20.73] },
{ 'PREDICTION': [21.15545],  'REAL': [21.45] },
{ 'PREDICTION': [19.956083],  'REAL': [16.31] },
{ 'PREDICTION': [18.63024],  'REAL': [16.31] },
{ 'PREDICTION': [17.287863],  'REAL': [16.31] },
{ 'PREDICTION': [16.065472],  'REAL': [16.31] },
{ 'PREDICTION': [15.041886],  'REAL': [16.31] },
{ 'PREDICTION': [15.12714],  'REAL': [16.31] },
{ 'PREDICTION': [14.796457],  'REAL': [16.31] },
{ 'PREDICTION': [13.979725],  'REAL': [16.31] },
{ 'PREDICTION': [13.08823],  'REAL': [16.31] },
{ 'PREDICTION': [12.321304],  'REAL': [16.31] },
{ 'PREDICTION': [11.669676],  'REAL': [16.31] },
{ 'PREDICTION': [11.107411],  'REAL': [16.31] },
{ 'PREDICTION': [10.60192],  'REAL': [16.31] },
{ 'PREDICTION': [10.285446],  'REAL': [16.31] },
{ 'PREDICTION': [10.11871],  'REAL': [16.31] },
{ 'PREDICTION': [10.078338],  'REAL': [16.31] },
{ 'PREDICTION': [10.052505],  'REAL': [16.31] },
{ 'PREDICTION': [10.006514],  'REAL': [16.31] },
{ 'PREDICTION': [9.879528],  'REAL': [16.31] },
{ 'PREDICTION': [9.706324],  'REAL': [16.31] },
{ 'PREDICTION': [9.576205],  'REAL': [16.31] },
{ 'PREDICTION': [9.369305],  'REAL': [16.31] },
