{ 'PREDICTION': [23.183838],  'REAL': [20.73] },
{ 'PREDICTION': [22.06401],  'REAL': [21.45] },
{ 'PREDICTION': [20.931902],  'REAL': [16.31] },
{ 'PREDICTION': [19.585022],  'REAL': [16.31] },
{ 'PREDICTION': [18.194637],  'REAL': [16.31] },
{ 'PREDICTION': [16.97798],  'REAL': [16.31] },
{ 'PREDICTION': [16.007818],  'REAL': [16.31] },
{ 'PREDICTION': [16.123384],  'REAL': [16.31] },
{ 'PREDICTION': [15.921025],  'REAL': [16.31] },
{ 'PREDICTION': [15.076171],  'REAL': [16.31] },
{ 'PREDICTION': [14.095147],  'REAL': [16.31] },
{ 'PREDICTION': [13.202403],  'REAL': [16.31] },
{ 'PREDICTION': [12.43441],  'REAL': [16.31] },
{ 'PREDICTION': [11.804634],  'REAL': [16.31] },
{ 'PREDICTION': [11.227689],  'REAL': [16.31] },
{ 'PREDICTION': [10.8616905],  'REAL': [16.31] },
{ 'PREDICTION': [10.746852],  'REAL': [16.31] },
{ 'PREDICTION': [10.789314],  'REAL': [16.31] },
{ 'PREDICTION': [10.835043],  'REAL': [16.31] },
{ 'PREDICTION': [10.836644],  'REAL': [16.31] },
{ 'PREDICTION': [10.68537],  'REAL': [16.31] },
{ 'PREDICTION': [10.438347],  'REAL': [16.31] },
{ 'PREDICTION': [10.259534],  'REAL': [16.31] },
{ 'PREDICTION': [10.031782],  'REAL': [16.31] },
