{ 'PREDICTION': [26.651562],  'REAL': [20.73] },
{ 'PREDICTION': [25.712107],  'REAL': [21.45] },
{ 'PREDICTION': [24.75518],  'REAL': [16.31] },
{ 'PREDICTION': [23.838669],  'REAL': [16.31] },
{ 'PREDICTION': [22.971266],  'REAL': [16.31] },
{ 'PREDICTION': [22.21162],  'REAL': [16.31] },
{ 'PREDICTION': [21.625652],  'REAL': [16.31] },
{ 'PREDICTION': [21.92472],  'REAL': [16.31] },
{ 'PREDICTION': [21.774895],  'REAL': [16.31] },
{ 'PREDICTION': [21.220705],  'REAL': [16.31] },
{ 'PREDICTION': [20.616472],  'REAL': [16.31] },
{ 'PREDICTION': [20.149023],  'REAL': [16.31] },
{ 'PREDICTION': [19.708378],  'REAL': [16.31] },
{ 'PREDICTION': [19.294123],  'REAL': [16.31] },
{ 'PREDICTION': [18.916107],  'REAL': [16.31] },
{ 'PREDICTION': [18.725643],  'REAL': [16.31] },
{ 'PREDICTION': [18.566103],  'REAL': [16.31] },
{ 'PREDICTION': [18.480206],  'REAL': [16.31] },
{ 'PREDICTION': [18.403704],  'REAL': [16.31] },
{ 'PREDICTION': [18.345102],  'REAL': [16.31] },
{ 'PREDICTION': [18.28112],  'REAL': [16.31] },
{ 'PREDICTION': [18.176664],  'REAL': [16.31] },
{ 'PREDICTION': [18.074282],  'REAL': [16.31] },
{ 'PREDICTION': [17.806288],  'REAL': [16.31] },
