{ 'PREDICTION': [21.445877],  'REAL': [20.73] },
{ 'PREDICTION': [20.572323],  'REAL': [21.45] },
{ 'PREDICTION': [19.76273],  'REAL': [16.31] },
{ 'PREDICTION': [18.991304],  'REAL': [16.31] },
{ 'PREDICTION': [18.19742],  'REAL': [16.31] },
{ 'PREDICTION': [17.43619],  'REAL': [16.31] },
{ 'PREDICTION': [16.771118],  'REAL': [16.31] },
{ 'PREDICTION': [16.899082],  'REAL': [16.31] },
{ 'PREDICTION': [16.749285],  'REAL': [16.31] },
{ 'PREDICTION': [16.261229],  'REAL': [16.31] },
{ 'PREDICTION': [15.673129],  'REAL': [16.31] },
{ 'PREDICTION': [15.138479],  'REAL': [16.31] },
{ 'PREDICTION': [14.648057],  'REAL': [16.31] },
{ 'PREDICTION': [14.181785],  'REAL': [16.31] },
{ 'PREDICTION': [13.760302],  'REAL': [16.31] },
{ 'PREDICTION': [13.544583],  'REAL': [16.31] },
{ 'PREDICTION': [13.376429],  'REAL': [16.31] },
{ 'PREDICTION': [13.302436],  'REAL': [16.31] },
{ 'PREDICTION': [13.238792],  'REAL': [16.31] },
{ 'PREDICTION': [13.188955],  'REAL': [16.31] },
{ 'PREDICTION': [13.126286],  'REAL': [16.31] },
{ 'PREDICTION': [13.017984],  'REAL': [16.31] },
{ 'PREDICTION': [12.859827],  'REAL': [16.31] },
{ 'PREDICTION': [12.560324],  'REAL': [16.31] },
