{ 'PREDICTION': [34.21306],  'REAL': [20.73] },
{ 'PREDICTION': [32.811436],  'REAL': [21.45] },
{ 'PREDICTION': [31.458477],  'REAL': [16.31] },
{ 'PREDICTION': [30.195986],  'REAL': [16.31] },
{ 'PREDICTION': [28.986317],  'REAL': [16.31] },
{ 'PREDICTION': [27.88559],  'REAL': [16.31] },
{ 'PREDICTION': [26.980455],  'REAL': [16.31] },
{ 'PREDICTION': [27.443712],  'REAL': [16.31] },
{ 'PREDICTION': [27.11998],  'REAL': [16.31] },
{ 'PREDICTION': [26.186584],  'REAL': [16.31] },
{ 'PREDICTION': [25.17588],  'REAL': [16.31] },
{ 'PREDICTION': [24.359758],  'REAL': [16.31] },
{ 'PREDICTION': [23.580238],  'REAL': [16.31] },
{ 'PREDICTION': [22.841389],  'REAL': [16.31] },
{ 'PREDICTION': [22.152967],  'REAL': [16.31] },
{ 'PREDICTION': [21.73127],  'REAL': [16.31] },
{ 'PREDICTION': [21.367785],  'REAL': [16.31] },
{ 'PREDICTION': [21.10031],  'REAL': [16.31] },
{ 'PREDICTION': [20.837812],  'REAL': [16.31] },
{ 'PREDICTION': [20.607744],  'REAL': [16.31] },
{ 'PREDICTION': [20.368242],  'REAL': [16.31] },
{ 'PREDICTION': [20.092077],  'REAL': [16.31] },
{ 'PREDICTION': [19.86641],  'REAL': [16.31] },
{ 'PREDICTION': [19.445595],  'REAL': [16.31] },
