{ 'PREDICTION': [31.700884],  'REAL': [20.73] },
{ 'PREDICTION': [30.826252],  'REAL': [21.45] },
{ 'PREDICTION': [30.016289],  'REAL': [16.31] },
{ 'PREDICTION': [29.254625],  'REAL': [16.31] },
{ 'PREDICTION': [28.574982],  'REAL': [16.31] },
{ 'PREDICTION': [28.005936],  'REAL': [16.31] },
{ 'PREDICTION': [27.57436],  'REAL': [16.31] },
{ 'PREDICTION': [28.039753],  'REAL': [16.31] },
{ 'PREDICTION': [28.047033],  'REAL': [16.31] },
{ 'PREDICTION': [27.627771],  'REAL': [16.31] },
{ 'PREDICTION': [27.138681],  'REAL': [16.31] },
{ 'PREDICTION': [26.721107],  'REAL': [16.31] },
{ 'PREDICTION': [26.277088],  'REAL': [16.31] },
{ 'PREDICTION': [25.82559],  'REAL': [16.31] },
{ 'PREDICTION': [25.366096],  'REAL': [16.31] },
{ 'PREDICTION': [25.099173],  'REAL': [16.31] },
{ 'PREDICTION': [24.893072],  'REAL': [16.31] },
{ 'PREDICTION': [24.744383],  'REAL': [16.31] },
{ 'PREDICTION': [24.579945],  'REAL': [16.31] },
{ 'PREDICTION': [24.429827],  'REAL': [16.31] },
{ 'PREDICTION': [24.26343],  'REAL': [16.31] },
{ 'PREDICTION': [24.057898],  'REAL': [16.31] },
{ 'PREDICTION': [23.8675],  'REAL': [16.31] },
{ 'PREDICTION': [23.516304],  'REAL': [16.31] },
