{ 'PREDICTION': [22.800116],  'REAL': [20.73] },
{ 'PREDICTION': [21.984037],  'REAL': [21.45] },
{ 'PREDICTION': [20.927984],  'REAL': [16.31] },
{ 'PREDICTION': [19.582872],  'REAL': [16.31] },
{ 'PREDICTION': [18.03715],  'REAL': [16.31] },
{ 'PREDICTION': [16.478867],  'REAL': [16.31] },
{ 'PREDICTION': [15.041958],  'REAL': [16.31] },
{ 'PREDICTION': [14.208883],  'REAL': [16.31] },
{ 'PREDICTION': [13.619467],  'REAL': [16.31] },
{ 'PREDICTION': [12.765534],  'REAL': [16.31] },
{ 'PREDICTION': [11.772812],  'REAL': [16.31] },
{ 'PREDICTION': [10.781545],  'REAL': [16.31] },
{ 'PREDICTION': [9.879396],  'REAL': [16.31] },
{ 'PREDICTION': [9.110316],  'REAL': [16.31] },
{ 'PREDICTION': [8.435877],  'REAL': [16.31] },
{ 'PREDICTION': [7.9904294],  'REAL': [16.31] },
{ 'PREDICTION': [7.753542],  'REAL': [16.31] },
{ 'PREDICTION': [7.7061],  'REAL': [16.31] },
{ 'PREDICTION': [7.737037],  'REAL': [16.31] },
{ 'PREDICTION': [7.7863183],  'REAL': [16.31] },
{ 'PREDICTION': [7.764832],  'REAL': [16.31] },
{ 'PREDICTION': [7.6645412],  'REAL': [16.31] },
{ 'PREDICTION': [7.540143],  'REAL': [16.31] },
{ 'PREDICTION': [7.347098],  'REAL': [16.31] },
