{ 'PREDICTION': [26.500143],  'REAL': [20.73] },
{ 'PREDICTION': [25.371897],  'REAL': [21.45] },
{ 'PREDICTION': [24.202946],  'REAL': [16.31] },
{ 'PREDICTION': [23.06896],  'REAL': [16.31] },
{ 'PREDICTION': [22.013254],  'REAL': [16.31] },
{ 'PREDICTION': [21.084185],  'REAL': [16.31] },
{ 'PREDICTION': [20.349533],  'REAL': [16.31] },
{ 'PREDICTION': [20.575422],  'REAL': [16.31] },
{ 'PREDICTION': [20.388273],  'REAL': [16.31] },
{ 'PREDICTION': [19.822124],  'REAL': [16.31] },
{ 'PREDICTION': [19.182299],  'REAL': [16.31] },
{ 'PREDICTION': [18.671455],  'REAL': [16.31] },
{ 'PREDICTION': [18.186928],  'REAL': [16.31] },
{ 'PREDICTION': [17.723448],  'REAL': [16.31] },
{ 'PREDICTION': [17.288498],  'REAL': [16.31] },
{ 'PREDICTION': [17.009304],  'REAL': [16.31] },
{ 'PREDICTION': [16.782452],  'REAL': [16.31] },
{ 'PREDICTION': [16.64817],  'REAL': [16.31] },
{ 'PREDICTION': [16.556284],  'REAL': [16.31] },
{ 'PREDICTION': [16.495655],  'REAL': [16.31] },
{ 'PREDICTION': [16.445393],  'REAL': [16.31] },
{ 'PREDICTION': [16.372864],  'REAL': [16.31] },
{ 'PREDICTION': [16.328037],  'REAL': [16.31] },
{ 'PREDICTION': [16.146055],  'REAL': [16.31] },
