{ 'PREDICTION': [28.846077],  'REAL': [20.73] },
{ 'PREDICTION': [27.720993],  'REAL': [21.45] },
{ 'PREDICTION': [26.441572],  'REAL': [16.31] },
{ 'PREDICTION': [25.106909],  'REAL': [16.31] },
{ 'PREDICTION': [23.637056],  'REAL': [16.31] },
{ 'PREDICTION': [22.147114],  'REAL': [16.31] },
{ 'PREDICTION': [20.770882],  'REAL': [16.31] },
{ 'PREDICTION': [20.578228],  'REAL': [16.31] },
{ 'PREDICTION': [20.0497],  'REAL': [16.31] },
{ 'PREDICTION': [19.064152],  'REAL': [16.31] },
{ 'PREDICTION': [17.936295],  'REAL': [16.31] },
{ 'PREDICTION': [16.894594],  'REAL': [16.31] },
{ 'PREDICTION': [15.930127],  'REAL': [16.31] },
{ 'PREDICTION': [15.01283],  'REAL': [16.31] },
{ 'PREDICTION': [14.174683],  'REAL': [16.31] },
{ 'PREDICTION': [13.60254],  'REAL': [16.31] },
{ 'PREDICTION': [13.160739],  'REAL': [16.31] },
{ 'PREDICTION': [12.879411],  'REAL': [16.31] },
{ 'PREDICTION': [12.672532],  'REAL': [16.31] },
{ 'PREDICTION': [12.509937],  'REAL': [16.31] },
{ 'PREDICTION': [12.3377905],  'REAL': [16.31] },
{ 'PREDICTION': [12.128087],  'REAL': [16.31] },
{ 'PREDICTION': [11.896971],  'REAL': [16.31] },
{ 'PREDICTION': [11.488202],  'REAL': [16.31] },
