{ 'PREDICTION': [22.606356],  'REAL': [20.73] },
{ 'PREDICTION': [21.946913],  'REAL': [21.45] },
{ 'PREDICTION': [21.12227],  'REAL': [16.31] },
{ 'PREDICTION': [20.141289],  'REAL': [16.31] },
{ 'PREDICTION': [19.101515],  'REAL': [16.31] },
{ 'PREDICTION': [18.096338],  'REAL': [16.31] },
{ 'PREDICTION': [17.209023],  'REAL': [16.31] },
{ 'PREDICTION': [16.643826],  'REAL': [16.31] },
{ 'PREDICTION': [16.242338],  'REAL': [16.31] },
{ 'PREDICTION': [15.646932],  'REAL': [16.31] },
{ 'PREDICTION': [15.016293],  'REAL': [16.31] },
{ 'PREDICTION': [14.440766],  'REAL': [16.31] },
{ 'PREDICTION': [13.927189],  'REAL': [16.31] },
{ 'PREDICTION': [13.506238],  'REAL': [16.31] },
{ 'PREDICTION': [13.1064825],  'REAL': [16.31] },
{ 'PREDICTION': [12.830323],  'REAL': [16.31] },
{ 'PREDICTION': [12.669116],  'REAL': [16.31] },
{ 'PREDICTION': [12.5781555],  'REAL': [16.31] },
{ 'PREDICTION': [12.503621],  'REAL': [16.31] },
{ 'PREDICTION': [12.428067],  'REAL': [16.31] },
{ 'PREDICTION': [12.297019],  'REAL': [16.31] },
{ 'PREDICTION': [12.1292515],  'REAL': [16.31] },
{ 'PREDICTION': [12.002823],  'REAL': [16.31] },
{ 'PREDICTION': [11.855226],  'REAL': [16.31] },
