{ 'PREDICTION': [21.982697],  'REAL': [20.73] },
{ 'PREDICTION': [21.102879],  'REAL': [21.45] },
{ 'PREDICTION': [20.135372],  'REAL': [16.31] },
{ 'PREDICTION': [19.05967],  'REAL': [16.31] },
{ 'PREDICTION': [17.926281],  'REAL': [16.31] },
{ 'PREDICTION': [16.858276],  'REAL': [16.31] },
{ 'PREDICTION': [15.927752],  'REAL': [16.31] },
{ 'PREDICTION': [15.760165],  'REAL': [16.31] },
{ 'PREDICTION': [15.521338],  'REAL': [16.31] },
{ 'PREDICTION': [14.901196],  'REAL': [16.31] },
{ 'PREDICTION': [14.131184],  'REAL': [16.31] },
{ 'PREDICTION': [13.361312],  'REAL': [16.31] },
{ 'PREDICTION': [12.611527],  'REAL': [16.31] },
{ 'PREDICTION': [11.914534],  'REAL': [16.31] },
{ 'PREDICTION': [11.248434],  'REAL': [16.31] },
{ 'PREDICTION': [10.769185],  'REAL': [16.31] },
{ 'PREDICTION': [10.454861],  'REAL': [16.31] },
{ 'PREDICTION': [10.293929],  'REAL': [16.31] },
{ 'PREDICTION': [10.193554],  'REAL': [16.31] },
{ 'PREDICTION': [10.113061],  'REAL': [16.31] },
{ 'PREDICTION': [9.988945],  'REAL': [16.31] },
{ 'PREDICTION': [9.820055],  'REAL': [16.31] },
{ 'PREDICTION': [9.665912],  'REAL': [16.31] },
{ 'PREDICTION': [9.417006],  'REAL': [16.31] },
