{ 'PREDICTION': [27.519732],  'REAL': [20.73] },
{ 'PREDICTION': [26.730371],  'REAL': [21.45] },
{ 'PREDICTION': [25.834126],  'REAL': [16.31] },
{ 'PREDICTION': [24.845665],  'REAL': [16.31] },
{ 'PREDICTION': [23.913363],  'REAL': [16.31] },
{ 'PREDICTION': [23.109852],  'REAL': [16.31] },
{ 'PREDICTION': [22.460323],  'REAL': [16.31] },
{ 'PREDICTION': [22.320816],  'REAL': [16.31] },
{ 'PREDICTION': [22.026114],  'REAL': [16.31] },
{ 'PREDICTION': [21.423534],  'REAL': [16.31] },
{ 'PREDICTION': [20.788136],  'REAL': [16.31] },
{ 'PREDICTION': [20.25661],  'REAL': [16.31] },
{ 'PREDICTION': [19.819445],  'REAL': [16.31] },
{ 'PREDICTION': [19.457903],  'REAL': [16.31] },
{ 'PREDICTION': [19.116169],  'REAL': [16.31] },
{ 'PREDICTION': [18.931767],  'REAL': [16.31] },
{ 'PREDICTION': [18.826468],  'REAL': [16.31] },
{ 'PREDICTION': [18.757065],  'REAL': [16.31] },
{ 'PREDICTION': [18.653072],  'REAL': [16.31] },
{ 'PREDICTION': [18.53639],  'REAL': [16.31] },
{ 'PREDICTION': [18.381302],  'REAL': [16.31] },
{ 'PREDICTION': [18.213612],  'REAL': [16.31] },
{ 'PREDICTION': [18.087257],  'REAL': [16.31] },
{ 'PREDICTION': [17.890749],  'REAL': [16.31] },
