{ 'PREDICTION': [21.224112],  'REAL': [20.73] },
{ 'PREDICTION': [20.196787],  'REAL': [21.45] },
{ 'PREDICTION': [19.030144],  'REAL': [16.31] },
{ 'PREDICTION': [17.711819],  'REAL': [16.31] },
{ 'PREDICTION': [16.212046],  'REAL': [16.31] },
{ 'PREDICTION': [14.654702],  'REAL': [16.31] },
{ 'PREDICTION': [13.171272],  'REAL': [16.31] },
{ 'PREDICTION': [12.216545],  'REAL': [16.31] },
{ 'PREDICTION': [11.277977],  'REAL': [16.31] },
{ 'PREDICTION': [10.133432],  'REAL': [16.31] },
{ 'PREDICTION': [8.990038],  'REAL': [16.31] },
{ 'PREDICTION': [7.9556437],  'REAL': [16.31] },
{ 'PREDICTION': [7.0054073],  'REAL': [16.31] },
{ 'PREDICTION': [6.1544175],  'REAL': [16.31] },
{ 'PREDICTION': [5.3687167],  'REAL': [16.31] },
{ 'PREDICTION': [4.799334],  'REAL': [16.31] },
{ 'PREDICTION': [4.383769],  'REAL': [16.31] },
{ 'PREDICTION': [4.155732],  'REAL': [16.31] },
{ 'PREDICTION': [4.047529],  'REAL': [16.31] },
{ 'PREDICTION': [4.01234],  'REAL': [16.31] },
{ 'PREDICTION': [3.9656873],  'REAL': [16.31] },
{ 'PREDICTION': [3.860875],  'REAL': [16.31] },
{ 'PREDICTION': [3.7290807],  'REAL': [16.31] },
{ 'PREDICTION': [3.5043597],  'REAL': [16.31] },
