{ 'PREDICTION': [20.7427],  'REAL': [20.73] },
{ 'PREDICTION': [20.049183],  'REAL': [21.45] },
{ 'PREDICTION': [19.218567],  'REAL': [16.31] },
{ 'PREDICTION': [18.267569],  'REAL': [16.31] },
{ 'PREDICTION': [17.15135],  'REAL': [16.31] },
{ 'PREDICTION': [15.98353],  'REAL': [16.31] },
{ 'PREDICTION': [14.861424],  'REAL': [16.31] },
{ 'PREDICTION': [14.422705],  'REAL': [16.31] },
{ 'PREDICTION': [13.765485],  'REAL': [16.31] },
{ 'PREDICTION': [12.910223],  'REAL': [16.31] },
{ 'PREDICTION': [12.010834],  'REAL': [16.31] },
{ 'PREDICTION': [11.187358],  'REAL': [16.31] },
{ 'PREDICTION': [10.426351],  'REAL': [16.31] },
{ 'PREDICTION': [9.730629],  'REAL': [16.31] },
{ 'PREDICTION': [9.128204],  'REAL': [16.31] },
{ 'PREDICTION': [8.733527],  'REAL': [16.31] },
{ 'PREDICTION': [8.405644],  'REAL': [16.31] },
{ 'PREDICTION': [8.191158],  'REAL': [16.31] },
{ 'PREDICTION': [8.027428],  'REAL': [16.31] },
{ 'PREDICTION': [7.91936],  'REAL': [16.31] },
{ 'PREDICTION': [7.8102827],  'REAL': [16.31] },
{ 'PREDICTION': [7.6604853],  'REAL': [16.31] },
{ 'PREDICTION': [7.4814057],  'REAL': [16.31] },
{ 'PREDICTION': [7.1946545],  'REAL': [16.31] },
