{ 'PREDICTION': [34.664158],  'REAL': [20.73] },
{ 'PREDICTION': [33.026543],  'REAL': [21.45] },
{ 'PREDICTION': [31.445665],  'REAL': [16.31] },
{ 'PREDICTION': [29.969051],  'REAL': [16.31] },
{ 'PREDICTION': [28.58702],  'REAL': [16.31] },
{ 'PREDICTION': [27.388577],  'REAL': [16.31] },
{ 'PREDICTION': [26.492388],  'REAL': [16.31] },
{ 'PREDICTION': [27.583107],  'REAL': [16.31] },
{ 'PREDICTION': [27.553995],  'REAL': [16.31] },
{ 'PREDICTION': [26.634445],  'REAL': [16.31] },
{ 'PREDICTION': [25.555805],  'REAL': [16.31] },
{ 'PREDICTION': [24.700352],  'REAL': [16.31] },
{ 'PREDICTION': [23.917664],  'REAL': [16.31] },
{ 'PREDICTION': [23.181665],  'REAL': [16.31] },
{ 'PREDICTION': [22.524809],  'REAL': [16.31] },
{ 'PREDICTION': [22.197313],  'REAL': [16.31] },
{ 'PREDICTION': [21.985485],  'REAL': [16.31] },
{ 'PREDICTION': [21.898281],  'REAL': [16.31] },
{ 'PREDICTION': [21.796833],  'REAL': [16.31] },
{ 'PREDICTION': [21.684505],  'REAL': [16.31] },
{ 'PREDICTION': [21.5106],  'REAL': [16.31] },
{ 'PREDICTION': [21.263294],  'REAL': [16.31] },
{ 'PREDICTION': [21.062542],  'REAL': [16.31] },
{ 'PREDICTION': [20.598282],  'REAL': [16.31] },
