{ 'PREDICTION': [22.676903],  'REAL': [20.73] },
{ 'PREDICTION': [21.554117],  'REAL': [21.45] },
{ 'PREDICTION': [20.083023],  'REAL': [16.31] },
{ 'PREDICTION': [18.352566],  'REAL': [16.31] },
{ 'PREDICTION': [16.380098],  'REAL': [16.31] },
{ 'PREDICTION': [14.305271],  'REAL': [16.31] },
{ 'PREDICTION': [12.288648],  'REAL': [16.31] },
{ 'PREDICTION': [11.338494],  'REAL': [16.31] },
{ 'PREDICTION': [10.126158],  'REAL': [16.31] },
{ 'PREDICTION': [8.624531],  'REAL': [16.31] },
{ 'PREDICTION': [7.025734],  'REAL': [16.31] },
{ 'PREDICTION': [5.5295806],  'REAL': [16.31] },
{ 'PREDICTION': [4.1505795],  'REAL': [16.31] },
{ 'PREDICTION': [2.8669636],  'REAL': [16.31] },
{ 'PREDICTION': [1.7225384],  'REAL': [16.31] },
{ 'PREDICTION': [0.83071256],  'REAL': [16.31] },
{ 'PREDICTION': [0.11090723],  'REAL': [16.31] },
{ 'PREDICTION': [-0.3840447],  'REAL': [16.31] },
{ 'PREDICTION': [-0.72243166],  'REAL': [16.31] },
{ 'PREDICTION': [-0.9528727],  'REAL': [16.31] },
{ 'PREDICTION': [-1.1389451],  'REAL': [16.31] },
{ 'PREDICTION': [-1.3276837],  'REAL': [16.31] },
{ 'PREDICTION': [-1.5076593],  'REAL': [16.31] },
{ 'PREDICTION': [-1.7889899],  'REAL': [16.31] },
