{ 'PREDICTION': [22.067913],  'REAL': [20.73] },
{ 'PREDICTION': [21.537651],  'REAL': [21.45] },
{ 'PREDICTION': [20.931002],  'REAL': [16.31] },
{ 'PREDICTION': [20.27505],  'REAL': [16.31] },
{ 'PREDICTION': [19.524685],  'REAL': [16.31] },
{ 'PREDICTION': [18.731676],  'REAL': [16.31] },
{ 'PREDICTION': [17.94505],  'REAL': [16.31] },
{ 'PREDICTION': [17.75415],  'REAL': [16.31] },
{ 'PREDICTION': [17.39604],  'REAL': [16.31] },
{ 'PREDICTION': [16.85685],  'REAL': [16.31] },
{ 'PREDICTION': [16.236382],  'REAL': [16.31] },
{ 'PREDICTION': [15.625786],  'REAL': [16.31] },
{ 'PREDICTION': [15.02426],  'REAL': [16.31] },
{ 'PREDICTION': [14.42792],  'REAL': [16.31] },
{ 'PREDICTION': [13.875426],  'REAL': [16.31] },
{ 'PREDICTION': [13.50289],  'REAL': [16.31] },
{ 'PREDICTION': [13.176253],  'REAL': [16.31] },
{ 'PREDICTION': [12.945999],  'REAL': [16.31] },
{ 'PREDICTION': [12.764996],  'REAL': [16.31] },
{ 'PREDICTION': [12.65333],  'REAL': [16.31] },
{ 'PREDICTION': [12.579271],  'REAL': [16.31] },
{ 'PREDICTION': [12.496996],  'REAL': [16.31] },
{ 'PREDICTION': [12.379667],  'REAL': [16.31] },
{ 'PREDICTION': [12.137354],  'REAL': [16.31] },
