{ 'PREDICTION': [18.185205],  'REAL': [20.73] },
{ 'PREDICTION': [16.677732],  'REAL': [21.45] },
{ 'PREDICTION': [15.193055],  'REAL': [16.31] },
{ 'PREDICTION': [13.563822],  'REAL': [16.31] },
{ 'PREDICTION': [11.701381],  'REAL': [16.31] },
{ 'PREDICTION': [9.808876],  'REAL': [16.31] },
{ 'PREDICTION': [8.050294],  'REAL': [16.31] },
{ 'PREDICTION': [8.089389],  'REAL': [16.31] },
{ 'PREDICTION': [7.4564104],  'REAL': [16.31] },
{ 'PREDICTION': [6.203525],  'REAL': [16.31] },
{ 'PREDICTION': [4.7900715],  'REAL': [16.31] },
{ 'PREDICTION': [3.4554408],  'REAL': [16.31] },
{ 'PREDICTION': [2.2080061],  'REAL': [16.31] },
{ 'PREDICTION': [1.0548407],  'REAL': [16.31] },
{ 'PREDICTION': [0.04322659],  'REAL': [16.31] },
{ 'PREDICTION': [-0.59026736],  'REAL': [16.31] },
{ 'PREDICTION': [-1.0156667],  'REAL': [16.31] },
{ 'PREDICTION': [-1.1738714],  'REAL': [16.31] },
{ 'PREDICTION': [-1.2201511],  'REAL': [16.31] },
{ 'PREDICTION': [-1.1844901],  'REAL': [16.31] },
{ 'PREDICTION': [-1.210621],  'REAL': [16.31] },
{ 'PREDICTION': [-1.3691579],  'REAL': [16.31] },
{ 'PREDICTION': [-1.6104823],  'REAL': [16.31] },
{ 'PREDICTION': [-2.080715],  'REAL': [16.31] },
