{ 'PREDICTION': [24.370152],  'REAL': [20.73] },
{ 'PREDICTION': [23.288137],  'REAL': [21.45] },
{ 'PREDICTION': [22.174234],  'REAL': [16.31] },
{ 'PREDICTION': [20.950174],  'REAL': [16.31] },
{ 'PREDICTION': [19.593754],  'REAL': [16.31] },
{ 'PREDICTION': [18.254591],  'REAL': [16.31] },
{ 'PREDICTION': [17.039743],  'REAL': [16.31] },
{ 'PREDICTION': [16.895405],  'REAL': [16.31] },
{ 'PREDICTION': [16.414099],  'REAL': [16.31] },
{ 'PREDICTION': [15.451164],  'REAL': [16.31] },
{ 'PREDICTION': [14.32932],  'REAL': [16.31] },
{ 'PREDICTION': [13.262875],  'REAL': [16.31] },
{ 'PREDICTION': [12.249169],  'REAL': [16.31] },
{ 'PREDICTION': [11.302539],  'REAL': [16.31] },
{ 'PREDICTION': [10.4295],  'REAL': [16.31] },
{ 'PREDICTION': [9.835267],  'REAL': [16.31] },
{ 'PREDICTION': [9.395376],  'REAL': [16.31] },
{ 'PREDICTION': [9.148984],  'REAL': [16.31] },
{ 'PREDICTION': [8.96448],  'REAL': [16.31] },
{ 'PREDICTION': [8.81347],  'REAL': [16.31] },
{ 'PREDICTION': [8.609596],  'REAL': [16.31] },
{ 'PREDICTION': [8.324261],  'REAL': [16.31] },
{ 'PREDICTION': [8.022952],  'REAL': [16.31] },
{ 'PREDICTION': [7.573719],  'REAL': [16.31] },
