{ 'PREDICTION': [30.059439],  'REAL': [20.73] },
{ 'PREDICTION': [29.001812],  'REAL': [21.45] },
{ 'PREDICTION': [27.86969],  'REAL': [16.31] },
{ 'PREDICTION': [26.697893],  'REAL': [16.31] },
{ 'PREDICTION': [25.499191],  'REAL': [16.31] },
{ 'PREDICTION': [24.392138],  'REAL': [16.31] },
{ 'PREDICTION': [23.469734],  'REAL': [16.31] },
{ 'PREDICTION': [23.477348],  'REAL': [16.31] },
{ 'PREDICTION': [23.092165],  'REAL': [16.31] },
{ 'PREDICTION': [22.276978],  'REAL': [16.31] },
{ 'PREDICTION': [21.399305],  'REAL': [16.31] },
{ 'PREDICTION': [20.677406],  'REAL': [16.31] },
{ 'PREDICTION': [20.017216],  'REAL': [16.31] },
{ 'PREDICTION': [19.425526],  'REAL': [16.31] },
{ 'PREDICTION': [18.88936],  'REAL': [16.31] },
{ 'PREDICTION': [18.580887],  'REAL': [16.31] },
{ 'PREDICTION': [18.299482],  'REAL': [16.31] },
{ 'PREDICTION': [18.083109],  'REAL': [16.31] },
{ 'PREDICTION': [17.858522],  'REAL': [16.31] },
{ 'PREDICTION': [17.648531],  'REAL': [16.31] },
{ 'PREDICTION': [17.428417],  'REAL': [16.31] },
{ 'PREDICTION': [17.177229],  'REAL': [16.31] },
{ 'PREDICTION': [16.950754],  'REAL': [16.31] },
{ 'PREDICTION': [16.589277],  'REAL': [16.31] },
