{ 'PREDICTION': [26.766033],  'REAL': [20.73] },
{ 'PREDICTION': [25.618536],  'REAL': [21.45] },
{ 'PREDICTION': [24.484703],  'REAL': [16.31] },
{ 'PREDICTION': [23.320286],  'REAL': [16.31] },
{ 'PREDICTION': [22.186165],  'REAL': [16.31] },
{ 'PREDICTION': [21.2199],  'REAL': [16.31] },
{ 'PREDICTION': [20.500437],  'REAL': [16.31] },
{ 'PREDICTION': [20.856596],  'REAL': [16.31] },
{ 'PREDICTION': [20.81562],  'REAL': [16.31] },
{ 'PREDICTION': [20.197882],  'REAL': [16.31] },
{ 'PREDICTION': [19.447506],  'REAL': [16.31] },
{ 'PREDICTION': [18.794159],  'REAL': [16.31] },
{ 'PREDICTION': [18.175562],  'REAL': [16.31] },
{ 'PREDICTION': [17.624662],  'REAL': [16.31] },
{ 'PREDICTION': [17.102543],  'REAL': [16.31] },
{ 'PREDICTION': [16.791658],  'REAL': [16.31] },
{ 'PREDICTION': [16.650736],  'REAL': [16.31] },
{ 'PREDICTION': [16.648232],  'REAL': [16.31] },
{ 'PREDICTION': [16.665623],  'REAL': [16.31] },
{ 'PREDICTION': [16.66843],  'REAL': [16.31] },
{ 'PREDICTION': [16.573568],  'REAL': [16.31] },
{ 'PREDICTION': [16.38344],  'REAL': [16.31] },
{ 'PREDICTION': [16.227951],  'REAL': [16.31] },
{ 'PREDICTION': [15.934822],  'REAL': [16.31] },
