{ 'PREDICTION': [25.659206],  'REAL': [20.73] },
{ 'PREDICTION': [23.970173],  'REAL': [21.45] },
{ 'PREDICTION': [22.131983],  'REAL': [16.31] },
{ 'PREDICTION': [20.0582],  'REAL': [16.31] },
{ 'PREDICTION': [17.673174],  'REAL': [16.31] },
{ 'PREDICTION': [15.235285],  'REAL': [16.31] },
{ 'PREDICTION': [12.964871],  'REAL': [16.31] },
{ 'PREDICTION': [12.096712],  'REAL': [16.31] },
{ 'PREDICTION': [10.971192],  'REAL': [16.31] },
{ 'PREDICTION': [9.255854],  'REAL': [16.31] },
{ 'PREDICTION': [7.412472],  'REAL': [16.31] },
{ 'PREDICTION': [5.722033],  'REAL': [16.31] },
{ 'PREDICTION': [4.234222],  'REAL': [16.31] },
{ 'PREDICTION': [2.9277167],  'REAL': [16.31] },
{ 'PREDICTION': [1.7762952],  'REAL': [16.31] },
{ 'PREDICTION': [1.0159719],  'REAL': [16.31] },
{ 'PREDICTION': [0.5148206],  'REAL': [16.31] },
{ 'PREDICTION': [0.29646102],  'REAL': [16.31] },
{ 'PREDICTION': [0.20279676],  'REAL': [16.31] },
{ 'PREDICTION': [0.16501662],  'REAL': [16.31] },
{ 'PREDICTION': [0.05049574],  'REAL': [16.31] },
{ 'PREDICTION': [-0.16349445],  'REAL': [16.31] },
{ 'PREDICTION': [-0.408363],  'REAL': [16.31] },
{ 'PREDICTION': [-0.80879974],  'REAL': [16.31] },
