{ 'PREDICTION': [25.334131],  'REAL': [20.73] },
{ 'PREDICTION': [24.205673],  'REAL': [21.45] },
{ 'PREDICTION': [23.135029],  'REAL': [16.31] },
{ 'PREDICTION': [22.093721],  'REAL': [16.31] },
{ 'PREDICTION': [21.07484],  'REAL': [16.31] },
{ 'PREDICTION': [20.154253],  'REAL': [16.31] },
{ 'PREDICTION': [19.398909],  'REAL': [16.31] },
{ 'PREDICTION': [19.831125],  'REAL': [16.31] },
{ 'PREDICTION': [19.591335],  'REAL': [16.31] },
{ 'PREDICTION': [18.812683],  'REAL': [16.31] },
{ 'PREDICTION': [17.959255],  'REAL': [16.31] },
{ 'PREDICTION': [17.25284],  'REAL': [16.31] },
{ 'PREDICTION': [16.640234],  'REAL': [16.31] },
{ 'PREDICTION': [16.073618],  'REAL': [16.31] },
{ 'PREDICTION': [15.560192],  'REAL': [16.31] },
{ 'PREDICTION': [15.274202],  'REAL': [16.31] },
{ 'PREDICTION': [15.079754],  'REAL': [16.31] },
{ 'PREDICTION': [14.97174],  'REAL': [16.31] },
{ 'PREDICTION': [14.849723],  'REAL': [16.31] },
{ 'PREDICTION': [14.721457],  'REAL': [16.31] },
{ 'PREDICTION': [14.5453415],  'REAL': [16.31] },
{ 'PREDICTION': [14.321275],  'REAL': [16.31] },
{ 'PREDICTION': [14.106221],  'REAL': [16.31] },
{ 'PREDICTION': [13.740439],  'REAL': [16.31] },
