{ 'PREDICTION': [32.184044],  'REAL': [20.73] },
{ 'PREDICTION': [30.820347],  'REAL': [21.45] },
{ 'PREDICTION': [29.370438],  'REAL': [16.31] },
{ 'PREDICTION': [27.889288],  'REAL': [16.31] },
{ 'PREDICTION': [26.344828],  'REAL': [16.31] },
{ 'PREDICTION': [24.812847],  'REAL': [16.31] },
{ 'PREDICTION': [23.394918],  'REAL': [16.31] },
{ 'PREDICTION': [22.94388],  'REAL': [16.31] },
{ 'PREDICTION': [21.894136],  'REAL': [16.31] },
{ 'PREDICTION': [20.469925],  'REAL': [16.31] },
{ 'PREDICTION': [19.075539],  'REAL': [16.31] },
{ 'PREDICTION': [17.914005],  'REAL': [16.31] },
{ 'PREDICTION': [16.83008],  'REAL': [16.31] },
{ 'PREDICTION': [15.81832],  'REAL': [16.31] },
{ 'PREDICTION': [14.885333],  'REAL': [16.31] },
{ 'PREDICTION': [14.223993],  'REAL': [16.31] },
{ 'PREDICTION': [13.604431],  'REAL': [16.31] },
{ 'PREDICTION': [13.103343],  'REAL': [16.31] },
{ 'PREDICTION': [12.6626835],  'REAL': [16.31] },
{ 'PREDICTION': [12.301577],  'REAL': [16.31] },
{ 'PREDICTION': [11.993671],  'REAL': [16.31] },
{ 'PREDICTION': [11.693679],  'REAL': [16.31] },
{ 'PREDICTION': [11.432729],  'REAL': [16.31] },
{ 'PREDICTION': [11.010818],  'REAL': [16.31] },
