{ 'PREDICTION': [24.631725],  'REAL': [20.73] },
{ 'PREDICTION': [23.433784],  'REAL': [21.45] },
{ 'PREDICTION': [22.14112],  'REAL': [16.31] },
{ 'PREDICTION': [20.647848],  'REAL': [16.31] },
{ 'PREDICTION': [19.118235],  'REAL': [16.31] },
{ 'PREDICTION': [17.757214],  'REAL': [16.31] },
{ 'PREDICTION': [16.67492],  'REAL': [16.31] },
{ 'PREDICTION': [16.665909],  'REAL': [16.31] },
{ 'PREDICTION': [16.542282],  'REAL': [16.31] },
{ 'PREDICTION': [15.852755],  'REAL': [16.31] },
{ 'PREDICTION': [14.9984255],  'REAL': [16.31] },
{ 'PREDICTION': [14.1919775],  'REAL': [16.31] },
{ 'PREDICTION': [13.49919],  'REAL': [16.31] },
{ 'PREDICTION': [12.932527],  'REAL': [16.31] },
{ 'PREDICTION': [12.418582],  'REAL': [16.31] },
{ 'PREDICTION': [12.102553],  'REAL': [16.31] },
{ 'PREDICTION': [12.017248],  'REAL': [16.31] },
{ 'PREDICTION': [12.095643],  'REAL': [16.31] },
{ 'PREDICTION': [12.187694],  'REAL': [16.31] },
{ 'PREDICTION': [12.216372],  'REAL': [16.31] },
{ 'PREDICTION': [12.079387],  'REAL': [16.31] },
{ 'PREDICTION': [11.828622],  'REAL': [16.31] },
{ 'PREDICTION': [11.617212],  'REAL': [16.31] },
{ 'PREDICTION': [11.358398],  'REAL': [16.31] },
