{ 'PREDICTION': [29.684937],  'REAL': [20.73] },
{ 'PREDICTION': [28.835493],  'REAL': [21.45] },
{ 'PREDICTION': [27.924454],  'REAL': [16.31] },
{ 'PREDICTION': [26.820969],  'REAL': [16.31] },
{ 'PREDICTION': [25.598938],  'REAL': [16.31] },
{ 'PREDICTION': [24.439934],  'REAL': [16.31] },
{ 'PREDICTION': [23.395815],  'REAL': [16.31] },
{ 'PREDICTION': [23.32597],  'REAL': [16.31] },
{ 'PREDICTION': [22.921951],  'REAL': [16.31] },
{ 'PREDICTION': [22.05344],  'REAL': [16.31] },
{ 'PREDICTION': [21.034891],  'REAL': [16.31] },
{ 'PREDICTION': [20.03382],  'REAL': [16.31] },
{ 'PREDICTION': [19.09415],  'REAL': [16.31] },
{ 'PREDICTION': [18.230736],  'REAL': [16.31] },
{ 'PREDICTION': [17.421797],  'REAL': [16.31] },
{ 'PREDICTION': [16.859398],  'REAL': [16.31] },
{ 'PREDICTION': [16.463451],  'REAL': [16.31] },
{ 'PREDICTION': [16.205069],  'REAL': [16.31] },
{ 'PREDICTION': [15.964889],  'REAL': [16.31] },
{ 'PREDICTION': [15.757771],  'REAL': [16.31] },
{ 'PREDICTION': [15.468455],  'REAL': [16.31] },
{ 'PREDICTION': [15.100338],  'REAL': [16.31] },
{ 'PREDICTION': [14.733908],  'REAL': [16.31] },
{ 'PREDICTION': [14.264922],  'REAL': [16.31] },
